Provider,PotentialFraud,degree,eigenvector_centrality,clustering_coefficient,pagerank
PRV51590,1,214,1.1011098811930836e-05,5.234234694570472e-05,4.391683066290382e-05
PRV51823,0,32,7.513157615336236e-07,0.00012088754683901779,7.174093588313666e-06
PRV54882,1,648,9.315342345974145e-06,3.855155195768196e-05,0.00013280121989175662
PRV52903,1,518,1.496806546142786e-06,2.9681037814324462e-05,0.00010477608243600633
PRV51173,1,59,1.1401058808465381e-06,0.00014364562043190735,1.3313255306533203e-05
PRV52150,0,811,8.98381673899552e-06,1.963134753008816e-05,0.00017061808350443447
PRV52617,0,622,6.439860086852981e-07,5.393981248496512e-05,0.00011540956732250948
PRV53635,0,136,5.516062876607651e-07,4.601986006770796e-05,2.9084294718788045e-05
PRV55911,1,627,9.672285437022584e-07,5.3626138970586915e-05,0.00012077743913596828
PRV57548,1,549,3.366716037361922e-06,3.594105384630152e-05,0.0001143558072680012
PRV56231,1,711,2.214366747466041e-06,2.78316458878915e-05,0.0001388760102359082
PRV56253,1,790,2.2413367379249687e-06,2.4619706313877105e-05,0.00015710380189771044
PRV54657,0,122,3.2146398831342772e-06,6.94406515374619e-05,2.7130587416809418e-05
PRV52918,0,57,4.1707833162203485e-07,8.986319632060963e-05,1.3890534490656854e-05
PRV51447,1,228,5.894955852881118e-06,6.607511158864072e-05,4.741853040447915e-05
PRV52359,0,293,4.126272334266938e-06,5.08529904900522e-05,5.9022686622724327e-05
PRV55996,1,245,1.4816532634501037e-06,4.563047985653665e-05,5.075787839749532e-05
PRV55194,1,1089,9.105652225302584e-06,2.2033921678840085e-05,0.00022090320782402922
PRV55262,0,1017,1.2556273739805293e-06,4.3239982611748035e-05,0.00019322027986527171
PRV55813,0,21,7.458497722988375e-08,0.0002649955220040274,5.266382813049343e-06
PRV56762,0,101,9.959075334860912e-07,8.192169817855797e-05,2.0780126374645016e-05
PRV55832,0,738,1.1712605672922325e-05,3.153728115497431e-05,0.0001526104728692732
PRV54767,0,164,2.7390440053384932e-06,5.690683927355144e-05,3.56776055231564e-05
PRV54325,0,40,1.4389739019941278e-07,0.00013176437214890583,1.0069655705713331e-05
PRV51149,1,383,1.7160660763187755e-06,4.3763905319113974e-05,7.888262055739073e-05
PRV51456,0,345,1.4924703208332745e-05,3.716136071204951e-05,6.76774200776116e-05
PRV53421,1,327,2.2543983378449113e-06,4.394213758930827e-05,7.090576970976913e-05
PRV51614,1,680,7.119615743641465e-06,2.4868305063780376e-05,0.0001416627917314504
PRV52393,0,240,1.1750581532565656e-06,7.444186115389461e-05,4.67260040356916e-05
PRV52152,0,233,3.916372658134988e-06,4.9668849691700226e-05,4.910201089325401e-05
PRV52123,1,683,3.09801388794489e-06,3.353341292622384e-05,0.00013919791406661916
PRV56225,1,1496,4.3606694953062004e-07,3.220067163947021e-05,0.0002786920520779334
PRV53612,0,119,7.514732691257945e-07,5.238527736810777e-05,2.5124875349924922e-05
PRV52544,0,14,7.544906397517395e-08,0.00020991796580024295,4.567943655777213e-06
PRV52366,0,556,4.45273783224149e-06,5.224028176710191e-05,0.0001119167306620302
PRV55381,0,122,3.6359856765448964e-07,7.63820746272618e-05,2.5286089766297417e-05
PRV51851,1,1238,9.970794856092538e-07,2.15298171148019e-05,0.0002341044092813709
PRV51618,0,3,7.387368512256837e-08,0.0005366467383259633,1.8058778781903714e-06
PRV56001,0,190,2.7972745352334634e-06,4.3949028797658216e-05,4.008560036697817e-05
PRV51539,1,1406,2.1336351700595798e-05,2.1419941500418158e-05,0.0002881842755265812
PRV52989,1,473,6.811952184228248e-06,5.3317493218771934e-05,9.800537621467364e-05
PRV51568,0,151,3.653713274752969e-06,8.29185042790812e-05,3.214648012081201e-05
PRV56421,1,346,2.982529580448042e-06,4.920663909049881e-05,7.274615310346591e-05
PRV54812,0,32,2.4594768670149784e-07,0.00014014446893974433,7.158021905871226e-06
PRV53388,0,323,1.1626264543549779e-06,8.012965564462943e-05,6.650712926662612e-05
PRV56773,0,108,5.395111044278528e-07,9.098046637001701e-05,2.268764272832602e-05
PRV53277,1,113,7.207079908883558e-07,8.636574361263038e-05,2.4125576689289415e-05
PRV54350,1,3831,7.119373239441493e-06,3.460044926541598e-05,0.0007293817841460414
PRV55209,1,1955,1.4105961534470961e-05,1.73877007431768e-05,0.000393564977257375
PRV55171,1,636,1.9409004751482444e-06,8.618174106340816e-05,0.00012320449934550507
PRV52047,0,60,2.3451240890106693e-07,0.00011051563835879514,1.3167609757835162e-05
PRV53401,1,795,7.599606982521665e-06,2.5224815755826666e-05,0.00016561757963917648
PRV57295,1,35,8.418681300211426e-08,0.0001576020434900698,8.466525332294074e-06
PRV57216,0,213,2.223821982814546e-06,7.490434082090129e-05,4.3903954985035485e-05
PRV54772,1,5443,3.985686598490048e-06,1.3960132798023028e-05,0.0010275743557298922
PRV51876,1,163,2.7731145924016666e-06,6.465724973207398e-05,3.3629150215329026e-05
PRV54760,0,82,8.182991438145349e-07,7.775448386223474e-05,1.786005652663806e-05
PRV55149,0,39,6.196530073583882e-08,0.0001290961621167584,9.684266733476432e-06
PRV55019,1,732,3.814129601893493e-06,3.523530269720341e-05,0.00014826380168479018
PRV55658,0,42,6.452110443089656e-07,8.84275399426271e-05,9.587813707410029e-06
PRV56556,0,2247,4.192440875244886e-07,3.613801233083725e-05,0.0004251951895653339
PRV54739,1,497,3.2028423356163838e-06,2.6729409302605793e-05,0.00010134274240120348
PRV52314,0,588,6.984953354692447e-06,3.597943887305386e-05,0.00011897999394595417
PRV56236,0,99,1.775221396395839e-06,6.341034808809275e-05,2.1328691173554906e-05
PRV53269,1,1175,1.1518379295261065e-05,2.6766947865514862e-05,0.00023503010395889735
PRV56437,1,1846,1.1408821699822132e-06,3.8328698181218e-05,0.00033767460228944655
PRV57182,0,196,1.4925571156953068e-06,4.8843512631270894e-05,4.116934224691902e-05
PRV56668,1,211,1.45165372297308e-06,5.933874201501188e-05,4.5271369506266344e-05
PRV52148,0,213,2.855677651651675e-06,5.1118838464743525e-05,4.537336289933998e-05
PRV55664,0,58,2.29846480675409e-07,0.00013142009287287138,1.2119756297028185e-05
PRV53786,1,3477,9.927240775868094e-07,2.9031691864440647e-05,0.0006616505262836357
PRV57340,0,115,1.918885133118698e-06,8.104163861392112e-05,2.496667126320123e-05
PRV51949,0,179,1.5279222900831505e-06,6.12419267640581e-05,3.7022210560454115e-05
PRV54356,0,91,1.3351796860760065e-06,0.00014677851040104488,1.8085758954230317e-05
PRV55140,0,24,7.23443491501883e-08,0.00019564293635876014,5.833130879502353e-06
PRV51030,0,436,2.8561258786323225e-06,3.634399820673549e-05,8.74360624506797e-05
PRV57317,1,1170,3.044484708856618e-06,1.5818773654413028e-05,0.00023114333267650782
PRV53855,1,56,6.185886650309812e-07,0.0001254447961675087,1.218984236386791e-05
PRV52843,1,658,9.77673950241445e-06,4.4961878432763316e-05,0.0001337367635778498
PRV54764,0,131,2.379600124597386e-06,7.866200587769398e-05,2.8851780531631565e-05
PRV56819,0,70,2.389300792529814e-07,0.00011065604456307813,1.4310424471130943e-05
PRV57098,0,138,5.62365269035132e-07,6.363804092832226e-05,2.930636239361034e-05
PRV57117,1,497,2.4431472696723487e-06,4.103402848196116e-05,9.981092902481669e-05
PRV57145,0,11,9.200518669559662e-08,0.0003091060843576092,3.075822852663701e-06
PRV57146,0,25,2.458797877440501e-07,0.00014338261226738103,6.280369161699108e-06
PRV57144,0,24,3.05082618119729e-07,0.0001320757600825161,5.7733232317297565e-06
PRV56235,0,440,5.1283041286138586e-06,3.9434740233347954e-05,9.008555585542197e-05
PRV52641,0,249,4.384171493261436e-06,5.5836433179491746e-05,5.165810442896346e-05
PRV53814,0,135,6.734236818979917e-07,5.195334705354464e-05,2.7812898234147514e-05
PRV57179,1,529,5.844709411289474e-06,5.4331364365631334e-05,0.00010805954514574464
PRV52059,1,3288,2.07279535738157e-06,4.623759145504448e-05,0.0006058984866725076
PRV52065,1,859,1.1450147129821251e-05,2.565909937164888e-05,0.00017611530316388
PRV52292,1,70,3.6618154249262986e-07,8.594898692609803e-05,1.4692866179689408e-05
PRV57228,0,1161,5.751411302313802e-08,2.1067463696170928e-05,0.00024416758440805585
PRV51840,1,300,3.4001537099982946e-06,3.547749375258987e-05,6.359183379151308e-05
PRV54765,1,611,2.1965331459124213e-06,3.3458021406237565e-05,0.00012721064713057994
PRV55435,1,389,9.12492927243988e-07,3.375354888243383e-05,8.865917285901855e-05
PRV52151,1,325,4.257711725124382e-06,5.097945247523829e-05,6.702405858321048e-05
PRV51285,0,423,2.409441928753906e-06,5.042312525892988e-05,8.692031772976565e-05
PRV57177,1,1489,2.232380819928879e-06,4.3984078208267605e-05,0.00030118358618293304
PRV54781,1,536,3.5698499653609034e-06,3.0168832021461707e-05,0.00010868443136014318
PRV51604,1,752,3.949976763061742e-06,2.193014523839123e-05,0.00014912319271433405
PRV55676,1,453,5.305640309524121e-06,3.6793593718844106e-05,9.54524968135122e-05
PRV51399,1,543,6.6288700465166445e-06,2.905137473104672e-05,0.00011103623965783604
PRV52642,1,1111,3.994867561804475e-07,2.8444723347903362e-05,0.00020933486326454385
PRV52815,1,71,3.851663176409371e-07,7.653299981372326e-05,1.5102527388008865e-05
PRV51180,0,279,6.051002511008643e-07,5.268852060202323e-05,5.476987945214679e-05
PRV55442,0,161,1.925545391757841e-06,6.737855017630723e-05,3.309850751526771e-05
PRV55467,1,4874,9.262650090897106e-07,3.070836794825968e-05,0.0009489949504460891
PRV52107,0,302,4.879416532365676e-07,3.139556637719664e-05,6.040820241844117e-05
PRV54058,0,83,2.0073859207819767e-07,6.24579794078648e-05,1.9660290837398213e-05
PRV52064,1,7293,3.6611907006687663e-06,9.812199995562119e-06,0.0013858611134883042
PRV56560,1,5990,3.1622304313854008e-06,2.1326177701886126e-05,0.0011073867364399673
PRV52072,0,337,3.2404335968090637e-06,3.715779538126319e-05,6.951307666783436e-05
PRV52114,1,3262,8.140423449715821e-07,2.082448032313939e-05,0.0006079899469312339
PRV55124,0,27,4.768707796323294e-07,0.00019760594423071163,6.6208184199784e-06
PRV55049,1,397,3.3336309453037706e-06,4.211848665099008e-05,8.044686207073737e-05
PRV54981,0,259,1.0906761065011387e-06,4.7164086600410746e-05,5.1881754794144714e-05
PRV52157,0,593,8.127528252024041e-06,4.523086268321388e-05,0.00012238331557313904
PRV54330,0,1210,7.950002185369785e-06,2.447848854157758e-05,0.00024387795055470332
PRV51490,1,165,1.1498501735777457e-06,5.654900874125659e-05,3.321076559569343e-05
PRV53408,0,125,2.030133832089855e-06,6.862439257023438e-05,2.7423607524983542e-05
PRV55157,0,8,8.861410775701522e-08,0.00033912808917852514,2.8992847653689896e-06
PRV54565,0,334,5.0474908186164264e-06,6.205605659081239e-05,6.741078558549686e-05
PRV54577,0,168,1.8235576037106897e-06,6.17940710671884e-05,3.548744270191896e-05
PRV57414,0,74,1.3475746949826975e-06,0.00010086337887490703,1.7058746369914625e-05
PRV53938,1,292,1.164181048650812e-06,5.328248140090693e-05,5.838689057431673e-05
PRV53706,1,1234,8.494875660271986e-06,1.396880420682837e-05,0.00025074985147970227
PRV54742,1,4835,8.077494786444344e-07,1.4211267702060782e-05,0.0009481939608293839
PRV57205,0,230,3.407442517310161e-06,4.194030843543694e-05,5.048934381260932e-05
PRV52044,0,209,3.1209328737272826e-06,6.0567582494894656e-05,4.329705849719917e-05
PRV53781,1,1002,1.6592932961909754e-05,2.3864187354045507e-05,0.00020546187397764974
PRV51523,0,176,1.0419370109554836e-06,4.578435025220575e-05,3.540384351423194e-05
PRV53383,0,60,6.796923533792903e-07,0.00010367801958453051,1.376340050793985e-05
PRV56276,0,19,3.079171845681547e-07,0.0001263855265691171,4.773911074852797e-06
PRV56249,1,2841,2.816244198619197e-06,1.6159537666601754e-05,0.000544975780643466
PRV57301,0,81,1.3240953797993467e-06,6.891127612423836e-05,1.679752050430782e-05
PRV57020,0,18,7.542475859459623e-08,0.0002878246939938507,4.373413552662657e-06
PRV56630,1,400,2.549798448897729e-06,4.051417920943493e-05,8.112676413064566e-05
PRV52519,0,256,1.105710480352164e-06,5.876312948363923e-05,5.294793385421379e-05
PRV54230,1,334,5.632400284294904e-06,5.019375917677554e-05,6.736578678140145e-05
PRV51245,0,439,1.905783789027741e-06,0.00013356853207893872,8.595053018028652e-05
PRV53256,0,875,6.1644790536862984e-06,2.8441656654147183e-05,0.0001759117928399235
PRV56818,0,56,1.0308570728666245e-06,0.0001468321565450292,1.2363822414916862e-05
PRV56748,1,1206,1.03620946858953e-06,1.7504311219860505e-05,0.00025982963420245465
PRV52511,1,631,5.860131213619317e-06,3.79260553976717e-05,0.00012774636760777935
PRV55128,0,26,2.1115050551074113e-07,0.00017969199727808333,5.944047360800721e-06
PRV52810,0,17,7.514284671038865e-08,0.00026134416342841446,4.645198813769789e-06
PRV51946,0,232,4.478686797801553e-06,5.611340795460947e-05,4.885793752422589e-05
PRV55037,0,1672,1.5444407119233053e-06,1.9991148866097593e-05,0.00032087922388149477
PRV54333,1,939,7.454094706467206e-06,2.761439569725264e-05,0.0001962351614321075
PRV57502,1,687,6.056026843587349e-06,3.157379137072365e-05,0.00014253198508790572
PRV52565,0,359,8.455492129120505e-07,5.965035832424183e-05,7.346727104293666e-05
PRV57406,0,185,1.3424782166755111e-06,7.505959708640225e-05,3.827625527563907e-05
PRV52342,0,559,5.874577716470101e-06,4.6484819710689155e-05,0.00011246433994357031
PRV52570,0,64,9.534170122726803e-07,9.797922961233052e-05,1.419206469186563e-05
PRV56550,1,208,1.2622690126790087e-06,6.335640671423534e-05,4.4163690724832606e-05
PRV51954,0,1669,1.3974865206500663e-05,1.6186311464252614e-05,0.00033282212173150983
PRV56761,0,294,1.289076338164939e-06,3.397349074519065e-05,6.050075713971924e-05
PRV52842,0,1126,1.1679736349239024e-06,3.125510095097448e-05,0.0002223068328476659
PRV57331,0,358,7.131422649501763e-06,4.927067151730968e-05,7.321847102298865e-05
PRV55939,0,138,2.225835809837517e-06,7.989875260188335e-05,3.069943748276565e-05
PRV55951,1,1144,9.174774837771976e-06,2.2357260523429283e-05,0.000232440809016204
PRV52556,0,317,5.758954242917544e-06,5.6379140807742057e-05,6.551628460847088e-05
PRV52646,0,276,3.9137733585635935e-06,5.517145498003261e-05,5.680472528635528e-05
PRV55519,1,61,1.1889771409104686e-06,0.00010772134434465887,1.4290151177986977e-05
PRV54935,0,227,2.4600175976671773e-06,6.0203135911199984e-05,4.848222561002928e-05
PRV51449,0,46,1.340942188701236e-06,0.0001434863178525126,1.0139540607203045e-05
PRV57223,1,137,1.3903775113892156e-06,5.414571743510479e-05,2.9325748340768633e-05
PRV54059,0,49,3.6764558725839997e-07,7.124206695171337e-05,1.1809493577646995e-05
PRV51349,0,75,2.510460445151298e-06,9.678696134728625e-05,1.6352525679300567e-05
PRV52325,1,338,4.506152587743657e-06,4.874778955772023e-05,6.711964625588227e-05
PRV53396,0,247,2.209009129287463e-06,5.258251782399434e-05,5.171997946374606e-05
PRV54929,1,70,1.925414058991086e-06,0.00010918730917769126,1.6275455001838614e-05
PRV54896,1,410,4.1811744134420785e-06,3.201818147248894e-05,8.447199772338209e-05
PRV51827,0,48,9.588307743466588e-08,0.0001408912723582432,1.0685667882793646e-05
PRV51467,0,67,2.159811931917189e-06,7.46445623610061e-05,1.4971104171504789e-05
PRV52403,0,550,2.9498116721400015e-06,9.8131381510762e-05,0.00010836904892689424
PRV54973,0,333,4.9590976367217415e-06,4.268896902774031e-05,6.894121832181905e-05
PRV53244,0,1312,2.339189962944053e-06,8.270375327329381e-05,0.00024976942698339395
PRV53692,1,634,3.6820324493929068e-06,2.307214136776775e-05,0.00012244010283020987
PRV51378,1,438,3.8061120426775198e-06,4.9238542197128996e-05,8.721825691801959e-05
PRV55018,1,192,7.849350566865368e-07,4.4006407407420874e-05,3.833599870443066e-05
PRV54890,0,196,3.284811807198248e-06,5.1161099204854564e-05,3.997321877254298e-05
PRV55981,0,141,2.139771670880189e-06,5.051207891733784e-05,3.060600463633408e-05
PRV53295,1,513,3.4851863708126883e-06,3.967732512639992e-05,0.00010469512816236149
PRV51471,1,454,1.8235389087520626e-05,3.311354106427467e-05,9.081031997853799e-05
PRV57711,0,61,6.160104535923877e-07,6.579927147267237e-05,1.4683012245376359e-05
PRV56808,1,151,8.012205778909246e-07,4.50994291441678e-05,3.327988717451295e-05
PRV52644,0,85,1.79138450796174e-06,0.00012151885107719303,1.8155664702283942e-05
PRV51119,1,262,4.919314386643751e-07,4.7118058460186885e-05,5.3004872625041944e-05
PRV52100,1,565,2.5211094694433652e-06,3.632689311806702e-05,0.00011199718043051439
PRV56583,0,63,1.403796069059477e-06,9.120124844572314e-05,1.5004262406616136e-05
PRV51271,0,326,1.8708300428333882e-06,5.362011533538258e-05,6.600523200353498e-05
PRV56014,0,86,1.1677211184364547e-06,6.802081547716133e-05,2.0482797446951817e-05
PRV55496,1,222,2.4927443187293296e-06,5.0564636089083e-05,4.718141985855841e-05
PRV55147,1,16,2.503657082362092e-07,0.00017679642826973527,4.391863434448622e-06
PRV51059,1,248,2.0607404483445033e-06,5.146947258721803e-05,5.431749021400426e-05
PRV51390,1,720,5.497734896847225e-06,3.15620159631491e-05,0.00014535624821904191
PRV52846,1,623,4.387702305066068e-06,2.5361279277448162e-05,0.00012671716150526878
PRV53268,0,194,2.2589690939347427e-06,7.680090512595347e-05,3.827819657155013e-05
PRV52869,0,168,2.664668027879831e-06,7.159934910027376e-05,3.5946440890665405e-05
PRV55689,1,1483,3.952118417517519e-06,2.3398173251054997e-05,0.00033023386562444174
PRV55755,0,232,2.199101672836891e-06,5.790607231828913e-05,4.748560539725325e-05
PRV57081,0,100,2.960216972271677e-07,9.1939719462462e-05,2.127969003246279e-05
PRV57697,1,171,1.944214626235602e-06,5.58208077739011e-05,3.704944981704096e-05
PRV54638,0,15,2.2797775674307283e-07,0.000180032177647983,3.991883653585726e-06
PRV51634,0,299,2.2376037545197658e-05,3.6166604149355034e-05,5.846438554058146e-05
PRV54644,1,183,3.723688734198197e-06,6.378062353551248e-05,3.894455200738463e-05
